,date,count,amount,cumsum_amount
0,2020-12-01,6451,206401.0,206401.0
1,2020-12-02,1644,52577.0,258978.0
2,2020-12-03,1557,49824.0,308802.0
3,2020-12-04,547,17504.0,326306.0
4,2020-12-05,2574,82276.0,408582.0
5,2020-12-06,1136,36263.0,444845.0
6,2020-12-07,1194,38100.0,482945.0
7,2020-12-08,1014,32448.0,515393.0
8,2020-12-09,2900,92800.0,608193.0
9,2020-12-10,1073,34336.0,642529.0
10,2020-12-11,2062,65984.0,708513.0
11,2020-12-12,1069,34208.0,742721.0
12,2020-12-13,782,25024.0,767745.0
13,2020-12-14,701,22432.0,790177.0
14,2020-12-15,791,25312.0,815489.0
15,2020-12-16,495,15840.0,831329.0
16,2020-12-17,640,20418.0,851747.0
17,2020-12-18,568,18110.0,869857.0
18,2020-12-19,716,22912.0,892769.0
19,2020-12-20,3023,96736.0,989505.0
20,2020-12-21,1673,53536.0,1043041.0
21,2020-12-22,2706,86561.0,1129602.0
22,2020-12-23,4522,144704.0,1274306.0
23,2020-12-24,1925,61600.0,1335906.0
24,2020-12-25,209,6688.0,1342594.0
25,2020-12-26,354,11328.0,1353922.0
26,2020-12-27,977,31264.0,1385186.0
27,2020-12-28,1360,43520.0,1428706.0
28,2020-12-29,335,10720.0,1439426.0
29,2020-12-30,418,13376.0,1452802.0
30,2020-12-31,863,27616.0,1480418.0
31,2021-01-01,622,19904.0,1500322.0
32,2021-01-02,461,14752.0,1515074.0
33,2021-01-03,313,10016.0,1525090.0
34,2021-01-04,269,8608.0,1533698.0
35,2021-01-05,1152,36864.0,1570562.0
36,2021-01-06,956,30592.0,1601154.0
37,2021-01-07,789,25248.0,1626402.0
38,2021-01-08,431,13792.0,1640194.0
39,2021-01-09,826,26432.0,1666626.0
40,2021-01-10,308,9856.0,1676482.0
41,2021-01-11,538,17216.0,1693698.0
42,2021-01-12,1258,40256.0,1733954.0
43,2021-01-13,873,27936.0,1761890.0
44,2021-01-14,998,31936.0,1793826.0
45,2021-01-15,1366,43712.0,1837538.0
46,2021-01-16,256,8192.0,1845730.0
47,2021-01-17,538,17216.0,1862946.0
48,2021-01-18,775,24800.0,1887746.0
49,2021-01-19,1808,57856.0,1945602.0
50,2021-01-20,3817,122144.0,2067746.0
51,2021-01-21,1172,37504.0,2105250.0
52,2021-01-22,363,11616.0,2116866.0
53,2021-01-23,115,3680.0,2120546.0
54,2021-01-24,626,20032.0,2140578.0
55,2021-01-25,415,13280.0,2153858.0
56,2021-01-26,200,6400.0,2160258.0
57,2021-01-27,299,9568.0,2169826.0
58,2021-01-28,381,12192.0,2182018.0
59,2021-01-29,109,3488.0,2185506.0
60,2021-01-30,501,16032.0,2201538.0
61,2021-01-31,161,5152.0,2206690.0
62,2021-02-01,407,13024.0,2219714.0
63,2021-02-02,207,6624.0,2226338.0
64,2021-02-03,787,25184.0,2251522.0
65,2021-02-04,310,9920.0,2261442.0
66,2021-02-05,208,6656.0,2268098.0
67,2021-02-06,229,7328.0,2275426.0
68,2021-02-07,472,15104.0,2290530.0
69,2021-02-08,359,11488.0,2302018.0
70,2021-02-09,245,7840.0,2309858.0
71,2021-02-10,571,18272.0,2328130.0
72,2021-02-11,1099,35168.0,2363298.0
73,2021-02-12,297,9504.0,2372802.0
74,2021-02-13,621,19872.0,2392674.0
75,2021-02-14,67,2144.0,2394818.0
76,2021-02-15,614,19648.0,2414466.0
77,2021-02-16,235,7520.0,2421986.0
78,2021-02-17,918,29376.0,2451362.0
79,2021-02-18,418,13376.0,2464738.0
80,2021-02-19,777,24864.0,2489602.0
81,2021-02-20,252,8064.0,2497666.0
82,2021-02-21,252,8064.0,2505730.0
83,2021-02-22,820,26240.0,2531970.0
84,2021-02-23,72,2304.0,2534274.0
85,2021-02-24,806,25792.0,2560066.0
86,2021-02-25,412,13184.0,2573250.0
87,2021-02-26,1768,56576.0,2629826.0
88,2021-02-27,208,6656.0,2636482.0
89,2021-02-28,256,8192.0,2644674.0
90,2021-03-01,324,10368.0,2655042.0
91,2021-03-02,140,4480.0,2659522.0
92,2021-03-03,443,14176.0,2673698.0
93,2021-03-04,253,8096.0,2681794.0
94,2021-03-05,593,18976.0,2700770.0
95,2021-03-06,1203,38496.0,2739266.0
96,2021-03-07,168,5376.0,2744642.0
97,2021-03-08,450,14400.0,2759042.0
98,2021-03-09,268,8576.0,2767618.0
99,2021-03-10,898,28736.0,2796354.0
100,2021-03-11,186,5952.0,2802306.0
101,2021-03-12,332,10624.0,2812930.0
102,2021-03-13,155,4960.0,2817890.0
103,2021-03-14,278,8896.0,2826786.0
104,2021-03-15,748,23936.0,2850722.0
105,2021-03-16,74,2368.0,2853090.0
106,2021-03-17,278,8896.0,2861986.0
107,2021-03-18,178,5696.0,2867682.0
108,2021-03-19,180,5760.0,2873442.0
109,2021-03-20,197,6304.0,2879746.0
110,2021-03-21,122,3904.0,2883650.0
111,2021-03-22,104,3328.0,2886978.0
112,2021-03-23,42,1344.0,2888322.0
113,2021-03-24,229,7328.0,2895650.0
114,2021-03-25,237,7584.0,2903234.0
115,2021-03-26,153,4896.0,2908130.0
116,2021-03-27,261,8352.0,2916482.0
117,2021-03-28,222,7104.0,2923586.0
118,2021-03-29,262,8384.0,2931970.0
119,2021-03-30,75,2400.0,2934370.0
120,2021-03-31,339,10848.0,2945218.0
121,2021-04-01,233,7456.0,2952674.0
122,2021-04-02,140,4480.0,2957154.0
123,2021-04-03,441,14112.0,2971266.0
124,2021-04-04,1517,48544.0,3019810.0
125,2021-04-05,330,10560.0,3030370.0
126,2021-04-06,312,9984.0,3040354.0
127,2021-04-07,291,9312.0,3049666.0
128,2021-04-08,1059,33888.0,3083554.0
129,2021-04-09,202,6464.0,3090018.0
130,2021-04-10,163,5216.0,3095234.0
131,2021-04-11,369,11808.0,3107042.0
132,2021-04-12,382,12224.0,3119266.0
133,2021-04-13,647,20704.0,3139970.0
134,2021-04-14,188,6016.0,3145986.0
135,2021-04-15,267,8544.0,3154530.0
136,2021-04-16,765,24480.0,3179010.0
137,2021-04-17,296,9472.0,3188482.0
138,2021-04-18,285,9120.0,3197602.0
139,2021-04-19,94,3008.0,3200610.0
140,2021-04-20,297,9504.0,3210114.0
141,2021-04-21,495,15840.0,3225954.0
142,2021-04-22,749,23968.0,3249922.0
143,2021-04-23,356,11392.0,3261314.0
144,2021-04-24,473,15136.0,3276450.0
145,2021-04-25,477,15264.0,3291714.0
146,2021-04-26,251,8032.0,3299746.0
147,2021-04-27,722,23104.0,3322850.0
148,2021-04-28,876,28032.0,3350882.0
149,2021-04-29,653,20896.0,3371778.0
150,2021-04-30,831,26592.0,3398370.0
151,2021-05-01,258,8256.0,3406626.0
152,2021-05-02,916,29312.0,3435938.0
153,2021-05-03,866,27712.0,3463650.0
154,2021-05-04,258,8256.0,3471906.0
155,2021-05-05,1820,58240.0,3530146.0
156,2021-05-06,2321,74272.0,3604418.0
157,2021-05-07,1528,48896.0,3653314.0
158,2021-05-08,2445,78240.0,3731554.0
159,2021-05-09,443,14176.0,3745730.0
160,2021-05-10,128,4096.0,3749826.0
161,2021-05-11,359,11488.0,3761314.0
162,2021-05-12,1174,37568.0,3798882.0
