,blockNumber,timeStamp,blockMiner,blockReward,uncles,uncleInclusionReward
0,15537348,1663223611,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,2.0591545213500733e+18,[],0.0
1,15537349,1663223637,0x8b4de256180cfec54c436a470af50f9ee2813dbb,2.0777150709180864e+18,[],0.0
2,15537350,1663223650,0x829bd824b016326a401d083b33d092293333a830,2.0494711739238244e+18,[],0.0
3,15537351,1663223655,0x829bd824b016326a401d083b33d092293333a830,2.06443740076256e+18,[],0.0
4,15537352,1663223681,0xea674fdde714fd979de3edf0f56aa9716b898ec8,2.041749763719129e+18,[],0.0
5,15537353,1663223696,0x270054ea81f2ca1fbc3be876f998ce2b1c869d5e,2.0011838227e+18,[],0.0
6,15537354,1663223704,0x7f101fe45e6649a6fb8f3f8b43ed03d353f2b90c,2.0524896743745715e+18,[],0.0
7,15537355,1663223717,0xea674fdde714fd979de3edf0f56aa9716b898ec8,2.0235474434116618e+18,[],0.0
8,15537356,1663223721,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,2.0022609551830392e+18,[],0.0
9,15537357,1663223722,0x7f101fe45e6649a6fb8f3f8b43ed03d353f2b90c,2.048889556335886e+18,[],0.0
